#number jobs
90
#processing times
 1	 4
 2	 4
 3	 5
 4	10
 5	 9
 6	 2
 7	 2
 8	 7
 9	 6
10	 9
11	 1
12	 3
13	 1
14	 9
15	 2
16	 5
17	 3
18	10
19	 5
20	 2
21	10
22	 8
23	10
24	 1
25	 3
26	 7
27	 3
28	 8
29	 7
30	 9
31	 2
32	 9
33	 3
34	 8
35	 3
36	 2
37	 3
38	 7
39	 9
40	 4
41	 1
42	10
43	 5
44	10
45	10
46	 1
47	 6
48	 1
49	 3
50	 1
51	 2
52	 8
53	 7
54	10
55	 7
56	 3
57	 3
58	 7
59	 2
60	 7
61	10
62	 1
63	 7
64	 5
65	 4
66	 2
67	 8
68	 3
69	 1
70	 3
71	 4
72	 8
73	 1
74	 3
75	 2
76	 2
77	 3
78	 4
79	 8
80	 6
81	 5
82	 9
83	10
84	 8
85	 5
86	 7
87	 6
88	 7
89	 5
90	 9
#precedence constraints
 8	46
10	20
12	70
13	35
15	17
18	72
21	38
22	30
26	72
39	58
42	23
43	40
43	56
46	19
46	76
48	27
48	66
52	59
53	54
53	67
54	70
56	78
57	73
60	 4
61	31
61	38
61	59
62	80
62	68
64	74
68	70
70	79
73	52
80	 2
83	66


