#number jobs
80
#processing times
 1	 6
 2	 5
 3	 2
 4	 3
 5	10
 6	 9
 7	 5
 8	 2
 9	 4
10	 7
11	 3
12	 7
13	 2
14	 1
15	 5
16	 7
17	 6
18	 9
19	 1
20	 7
21	 2
22	 5
23	 6
24	 5
25	 2
26	 9
27	 3
28	 5
29	 1
30	 5
31	 2
32	 3
33	 7
34	 8
35	 8
36	 4
37	 6
38	 9
39	 2
40	 4
41	10
42	 3
43	 3
44	 2
45	 7
46	 6
47	 3
48	 8
49	 6
50	 7
51	 4
52	 4
53	 7
54	 1
55	 4
56	 9
57	 3
58	 4
59	 7
60	 8
61	 6
62	10
63	 6
64	 5
65	 2
66	 9
67	10
68	 3
69	 3
70	 8
71	 4
72	 2
73	10
74	 1
75	 6
76	 6
77	 5
78	 2
79	 1
80	10
#precedence constraints
 1	26
 4	32
 9	70
11	52
13	26
17	31
17	50
18	36
20	58
21	43
24	31
26	56
37	50
38	58
41	22
43	42
44	63
49	50
50	52
50	72
51	 3
52	13
52	17
54	56
55	54
57	73
57	 3
65	53
67	69
67	79
69	78
71	22
71	28
75	79
78	80
80	29

