#number jobs
100
#processing times
  1	 9
  2	 1
  3	 4
  4	10
  5	 2
  6	 2
  7	10
  8	 6
  9	 3
 10	 9
 11	 2
 12	 5
 13	 1
 14	 4
 15	 4
 16	 1
 17	 3
 18	 8
 19	 1
 20	 7
 21	 2
 22	 6
 23	 5
 24	 2
 25	 3
 26	 9
 27	 5
 28	10
 29	 4
 30	 3
 31	 9
 32	 2
 33	 5
 34	 6
 35	 1
 36	 3
 37	 6
 38	 7
 39	 3
 40	 3
 41	10
 42	 5
 43	 2
 44	 2
 45	 3
 46	 7
 47	 2
 48	 2
 49	 5
 50	 8
 51	 2
 52	 9
 53	 1
 54	 2
 55	10
 56	 7
 57	 9
 58	 8
 59	 2
 60	 9
 61	 6
 62	 8
 63	 2
 64	 4
 65	 1
 66	 5
 67	 3
 68	 3
 69	 1
 70	 6
 71	 9
 72	 1
 73	 7
 74	 8
 75	 6
 76	 6
 77	 2
 78	 3
 79	 7
 80	 9
 81	 8
 82	 2
 83	10
 84	10
 85	 3
 86	 6
 87	 2
 88	 5
 89	 2
 90	 4
 91	 9
 92	 7
 93	 3
 94	 8
 95	 7
 96	 3
 97	 6
 98	 5
 99	 4
100	 4
# precedence constraints
  2	83
  7	70
  9	22
 10	69
 11	73
 14	74
 15	86
 16	72
 23	91
 25	48
 31	91
 32	58
 33	44
 35	49
 36	92
 39	65
 46	88
 46	90
 63	67
 63	79
 64	81
 65	88
 65	73
 66	72
 67	79
 70	94
 71	86
 79	99
 80	85
 82	20
 82	66
 84	29
 85	45
 87	16
 88	72
 89	 2
 90	49
 93	64
 96	28
 97	 8
100	32
