#number jobs
60
#processing times
 1	 3
 2	 2
 3	 5
 4	 8
 5	 8
 6	 4
 7	 4
 8	 2
 9	 9
10	 6
11	 8
12	 2
13	10
14	 3
15	 7
16	 8
17	10
18	 5
19	 6
20	 9
21	 2
22	 8
23	 6
24	 8
25	 5
26	10
27	 4
28	 1
29	 3
30	 3
31	 9
32	 2
33	 3
34	 1
35	 6
36	 7
37	 2
38	 1
39	 7
40	 2
41	 6
42	 5
43	 3
44	 9
45	 1
46	 8
47	 4
48	10
49	 6
50	 7
51	 1
52	 9
53	 2
54	 9
55	 4
56	 5
57	 9
58	 3
59	 4
60	 6
#precedence constraints
 3	20
 3	11
 3	18
 5	11
 5	38
 6	29
 8	28
10	30
10	33
11	16
13	38
14	21
14	25
15	35
15	37
17	23
19	33
20	27
21	23
23	35
23	29
24	34
25	31
26	29
26	35
32	39
34	39
35	37
